Address-City|Address-Country|Address-State|Address-Street Direction|Address-Street Name|Address-Street Number|Address-Unit Number|Address-Zip|Appliance Description|Association Fee|Cooling Description|Directions|Garage Description|Heating Description|List Date|Lot Description|Lot Size-Acres|MLS Board|Listing Agent ID|Listing Agent Name|Listing Office ID|Listing Office Name|Listing Office Phone|Listing Modified Date|MLS Number|Property Type|Amenities|Pool Description|Price|Property Class|Room Count-Total Bedrooms|Room Count-Total Full Baths|Room Count-Total Half Baths|Room Count-Total Rooms|School District|School-Elementary|School-High|School-Middle|Sewer|SQFT|Tax|Tax ID|Tax Year|Year Built|MLS Listing Status|Remarks|Basement Description|Basement YN|Golf Club YN|Horse Facilities YN|Health Club YN|Display Address on Internet YN|Virtual Tour URL|List Agent E-Mail Address|Fireplaces|Relocation Membership ID|RentalType|RentalPrice|CountyName|Subdivision|ExteriorAmenities|Listing CoAgent ID|Listing CoAgent Name
LIVERMORE|USA|CA||2944 Kiwi Common|||94551|Fire Sprinklers,Garage Door Opener,Security Alarm - Owned,Water Heater Gas,Window Coverings,Tankless Water Heater|169.00|None||||2018-01-24 02:26:00|Close To Clubhouse|0.059|EBRDIMCG|866502532|Teresa Hartford|ML37608|Pleasanton / Livermore Valley||2018-01-31 12:21:22|40808257|Single Family|||830000.00|Single Family|3|2|1|||||||2012||||2010|Pending|Gorgeous&#226;&#128;&#166;this is too good to miss, immaculate home with easy access to 580/Hwy 84 in resort style Montage community featuring 3 spacious bedrooms, 2.5 baths, a loft /office. Upgrades throughout home, kitchen with granite counter tops, Subzero top-of-the-line refrigerator, Wolf stove, extra cabinet storage, security system, surround sound/ Bose speakers throughout, sink in upstairs laundry room, crown molding, jetted Jacuzzi tub, huge walk in closet in this beautiful Spanish exterior within walking distance to the stunning recreation center, which offers a large community park, pool, gym, playground & clubhouse.||N|N|N|N|Y||thartford@apr.com||12176|||Alameda||||
LIVERMORE|USA|CA||851 Laguna Street|||94550|Mirrored Closet Door(s),Water Heater Gas||None||||2018-01-24 16:34:00|Regular|0.139|EBRDIMCG|191004074|Gina Huggins|ML37608|Pleasanton / Livermore Valley||2018-02-01 01:08:12|40808280|Single Family|||759000.00|Single Family|4|2|0||Livermore Valley (925) 606-3200|||||1536||||1966|Active|This charming 4 bedroom, 2 bathroom home with approximately 1,536 square feet of living space has great curb appeal in one of Livermore&#226;&#128;&#153;s most desirable neighborhoods. Located close in proximity to not only Highway 84 and 580 which is fitting for commuters, but also to Downtown Livermore and Pleasanton as well. This home is within 1 mile of Livermore&#226;&#128;&#153;s top-rated schools; Smith Elementary School, Mendenhall Middle School, and Granada High School. Newer roof, dual pane windows and sliders, air-conditioning and furnace, private outdoor screened area, separate family and living area, and indoor laundry room just add to the appeal of this home!||N|N|N|N|Y||ghuggins@apr.com||12176|||Alameda||||
FREMONT|USA|CA||2111 Ocaso Camino|||94539|Dryer,Garage Door Opener,Washer,Window Coverings|227.00|None||||2018-01-24 18:52:00|Cul-De-Sac|0.108|EBRDIMCG|206513313|Kelly King|ML37608|Pleasanton / Livermore Valley||2018-02-01 01:08:12|40808308|Single Family|||1599950.00|Single Family|3|2|1|||||||2316||||1979|Active|Open Sat/Sun 1-4. Rarely available detached home in this beautiful MSJ community! New DP energy efficient windows installed by custom exteriors(2015) ,Gorgeous remodeled kitchen with Custom Cherry cabinets, granite slab counters, upgraded appliances, completely remodeled bathrooms with granite and quartz, cherry wood floors downstairs and upgraded wool carpeting, spacious family room with custom wetbar Fabulous Master bedroom suite with large sitting area/study and balcony, recessed lighting throughout, plantation shutters throughout, newly painted exterior (2015), Beautiful location! Must see!||N|N|N|N|Y|http://www.tourfactory.com/idxr1912118|lkking@apr.com||12176|||Alameda||||
PLEASANTON|USA|CA||7768 Creekside Drive|||94588|Dryer,Washer,Water Heater Gas,Window Coverings|405.00|None||||2018-01-24 19:38:00|Creek Front|0.045|EBRDIMCG|206526705|Julia Murtagh|ML37608|Pleasanton / Livermore Valley||2018-01-30 15:04:06|40808321|Single Family|||779000.00|Single Family|3|2|1||Pleasanton (925) 462-5500|||||1614||||1990|Pending|Fabulous updated "Gold Creek" Town home with a premier location. Enjoy 3 bedrooms, 2.5 baths, 1614 sqft of living space with upgraded kitchen, master bathroom, landscape and flooring. Located in West Pleasanton close to Stoneridge Mall, Bart, quick walk to Lydiksen Elementary school and great Freeway access, both 580 & 680.||N|N|N|N|Y|http://www.tourfactory.com/idxr1917023|jmurtagh@apr.com||12176|||Alameda||||
ALAMEDA|USA|CA||506 Holly Oak Ln|||94502|Garage Door Opener|442.00|None||||2018-01-25 17:01:00|Level|0.041|EBRDIMCG|149520485|Philip Kaake|AAPR01|Alameda||2018-02-01 01:53:09|40808429|Single Family|||799000.00|Single Family|3|2|1||Alameda (510) 748-4000|||||1707||||1977|Active|Nestled in a gardenlike setting this light filled Townhome features vaulted ceilings in the living room and master bedroom. The kitchen area features large counters, new stainless steel appliances and is perfect for a family room or breakfast area with a cozy patio just outside. New Luxury Vinyl flooring throughout the downstairs and upstairs bathrooms create a natural contemporary feel. The Master bedroom is spacious with ample closet space and has a patio of it&#226;&#128;&#153;s own along with an extra large bathtub. The two-car garage is accessible from within the unit. This home is very close to the Harbor Bay Landing shopping center, Ferry terminal and top performing schools. The entire area has both picturesque lagoon and bay view walking paths.||N|N|N|N|Y||pkaake@apr.com||12176|||Alameda||||
OAKLAND|USA|CA||5878 BIRCH COURT|||94618|Dryer,Garage Door Opener,Washer,Water Heater Gas,Window Coverings|230.00|None||||2018-01-25 21:57:00|Cul-De-Sac,Level,Regular,Secluded||EBRDIMCG|149520297|David Gunderman|AAPR01|Oakland Hills - Montclair Village||2018-02-01 01:53:11|40808471|Single Family|||799000.00|Single Family|2|1|0|||||||1117||||1941|Active|Gorgeously renovated 2BD/1BA townhouse-style condo in the coveted heart of Rockridge. Lives like a single family home (or duet), with an ingenious and perfectly flowing floor plan, attached garage with internal access, water/dryer, and a large, lush, wildly private rear garden and deck. This is paradise steps from Rockridge BART and College Avenue at the end of a cul-de-sac abutting the monastic St Albert Priory. Heaven.||N|N|N|N|Y|http://andrewanddavid.com/5878-birch/?g|dgunderman@apr.com||12176|||Alameda||||
WALNUT CREEK|USA|CA||2553 Appaloosa Ct|||94596|Dryer,Garage Door Opener,Washer,Water Heater Gas||None||||2018-01-26 15:10:00|Cul-De-Sac,Level,Premium Lot|0.318|EBRDIMCG|159515154|Jim Colhoun|CCAPR01|Orinda||2018-02-01 01:08:12|40808538|Single Family|||1325000.00|Single Family|4|3|0||San Ramon Valley (925) 552-5500|||||2147||||1965|Active|Single-level home on cul de sac in desirable Livorna Estates neighborhood. San Ramon Valley schools and excellent proximity to 680 make this location ideal. Extensive kitchen remodel with Sub Zero fridge and Wolf range. Four bedrooms plus three baths, all updated. Gorgeous hardwood floors throughout and new carpet in living and dining room. Large backyard on .32 acre lot features cabana and fireplace and separate BBQ. Extra storage in shed at side of home. Family room television, electronics and speakers included. Outdoor speakers too! Open Saturday 2/3 from 1-4 pm and Sunday 12-3 pm. Don't miss; great house!||N|N|N|N|Y|http://www.tourfactory.com/idxr1923261|jim@apr.com||12176|||Contra Costa||||
CONCORD|USA|CA||1255 Lancashire Dr|||94518|Garage Door Opener,Mirrored Closet Door(s),Water Filter System,Water Heater Gas,Window Coverings||None||||2018-01-29 13:15:00|Level,Regular|0.227|EBRDIMCG|QS807043|Thomas Westfall|QSALPR18|San Francisco - Noe Valley||2018-02-01 01:08:12|40808722|Single Family|||795000.00|Single Family|4|2|0|||||||1872||||1964|Active|First time on the market in over 40 years for this fabulous single level, 4 bedroom, 2 bath Eichler home in coveted Parkwood Estates. Gorgeous remodeled & updated chef's kitchen with large center island, breakfast bar, granite countertops, & plenty of storage. Other features include remodeled & updated bathrooms, double pane windows throughout, radiant heating with newer HE boiler, foam roof with warranty, solar power, 2 duct-less Mitsubishi A/C units, fresh paint and new carpeting. Lots of original details too including mahogany paneling in great condition, wood burning brick fireplace in signature great room, globe lights, & unpainted ceilings. Situated on a large (almost 10,000 square feet) level lot that's ideal for entertaining & relaxing with friends & family with covered patio, hot tub, new storage shed, new lawn in back, drought tolerant landscaping in front, & programmable irrigation. Great opportunity to own a piece of mid-century modern history. Open Sat & Sun from 1-4pm.||N|N|N|N|Y|http://www.1255Lancashire.com|thomaswestfall@apr.com||12176|||Contra Costa||||
ALAMEDA|USA|CA||1105 Pacific Ave|||94501|Dryer,Washer,Water Heater Gas||None||||2018-01-30 15:18:00|Regular|0.143|EBRDIMCG|149520372|Dede Cunningham|AAPR01|Alameda||2018-02-01 01:08:12|40808810|Single Family|||799000.00|Single Family|2|2|0|||||||1154||||1904|Active|Warmth and elegance abounds in this delightful 1904 Victorian charmer. Features include stunning hardwood floors, soaring ceilings, modern lighting and a new furnace. The updated kitchen is the heart of the home looking out over the stunning backyard. The master bedroom has a private bathroom and there is an additional bedroom off the kitchen. Large and lush, the yard is filled with a bountiful veggie garden, fruit trees and bright landscaping ideal for hobby gardeners and entertainment. Croquet anyone? The possibilities are endless! At the lot level is additional bonus space with laundry room and ideal environment for an office, workshop, or playroom with capacity for loads of storage. Fabulous Central Alameda location with easy access to the AC Transit, Alameda Ferry, transportation, parks, Jean Sweeney Park, Crown Beach, shops, restaurants and all the many amenities Alameda has to offer. Don't miss seeing this charming home!||N|N|N|N|Y|http://www.1105pacific.com/unbranded|dcunningham@apr.com||12176|||Alameda||||
DANVILLE|USA|CA||107 LEAFIELD RD|||94506-1928|Dryer,Garage Door Opener,Mirrored Closet Door(s),Security Alarm - Owned,Stereo Speakers Built-In,Washer,Water Heater Gas,Window Coverings|260.00|None||||2018-01-31 16:52:00|Level|0.236|EBRDIMCG|159519171|Melanie Kozak|CCAPR03|Walnut Creek||2018-02-01 01:08:12|40808897|Single Family|||1699900.00|Single Family|5|3|1||Not Listed|||||4003||||1999|Active|Beautiful Magee Ranch at its Best! Don't miss this gorgeous, meticulously cared for traditional home with a quiet court location! Elegant tile entry off the office & living room w/gas fireplace & vaulted ceilings. Kitchen features a breakfast area, center island, granite counters, hardwood floors, wine refrigerator, pantry & top-of-the-line SS appliances.The FR has a gas fireplace & charming window seat. Spacious formal DR w/hardwood floors, high ceilings & French doors to side yard, perfect for entertaining.Relaxing master bedroom retreat features built-in bookshelves, gas fireplace, wainscoting, walk-in closet & a spacious master bath w/dual sinks, jetted tub & large stone tile shower w/dual shower heads. Private back yard off the family room backs to open space & is an entertainer's dream w/an outdoor kitchen, stone patio w/fire-pit and Mt. Diablo views. Other features include crown molding, built-in speakers & immaculate garage w/finished epoxy floor & storage. Top rated schools!||N|N|N|N|Y|http://www.tourfactory.com/idxr1868524|mkozak@apr.com||12176|||Contra Costa||||
SAN RAMON|USA|CA||614 Bali Ct|||94582|Dryer,Garage Door Opener,Washer,Water Heater Gas,Other|110.00|None||||2018-01-31 20:33:00|Cul-De-Sac,Premium Lot,Other|0.362|EBRDIMCG|R00493973|Mel Copland|AAPR01|Oakland Hills - Montclair Village||2018-02-01 01:08:12|40808943|Single Family|||1119500.00|Single Family|5|2|1|||||||2547||||1978|Active|Bright and inviting Country View home with large yard and sparkling pool. Take in views of the rolling hills from throughout the home. A perfect home for indoor outdoor living with large decks and sliding glass doors. Enter the front doors into the foyer and inviting living room with vaulted ceilings and fireplace. The dining room features a wet bar and is located right the kitchen. The eat-in kitchen is located off the second deck, a great place to enjoy family dinners. The large family room is located on the lower level. The family room steps out onto the lower deck and features a stone fireplace. Off of the family room is the private master suite. The master suite has vies of the hills and pool and offers a sliding door to the backyard. The master bath features double sinks, a stall shower and large tub. The upstairs has four sunny bedrooms each feature beautiful views. The laundry room is conveniently located off the upstairs bedrooms.||N|N|N|N|Y|http://www.tourfactory.com/idxr1923398|mcopland@apr.com||12176|||Contra Costa||||
EL CERRITO|USA|CA||5825 CHARLES AVENUE|||94530|Dryer,Garage Door Opener,Washer,Water Heater Gas,Window Coverings||None||||2018-01-31 22:26:00|Level,Regular|0.161|EBRDIMCG|149520297|David Gunderman|AAPR01|Oakland Hills - Montclair Village||2018-02-01 01:08:12|40808964|Single Family|||895000.00|Single Family|3|2|0|||||||1525||||1951|Active|Bewitching 3BD/2BA single-level urban oasis. Perched on a quiet hill with open bay views, lush and exquisitely planted private gardens, internal courtyard, wonderful upgrades, beautifully maintained, with light-filled open common areas. This one is special. Back bedroom with en suite bath would make great guest suite, au pair, or private office.||N|N|N|N|Y|http://andrewanddavid.com/5825-charles/?g|dgunderman@apr.com||12176|||Contra Costa||||
WALNUT CREEK|USA|CA||490 Via Royal|||94597|Garage Door Opener,Water Heater Gas,Window Coverings|415.00|None||||2018-01-31 23:32:00|Corner,Court,Level,Premium Lot,Regular|0.063|EBRDIMCG|159501238|Margaret Garber-Teeter|CCAPR03|Walnut Creek||2018-02-01 01:08:12|40808985|Single Family|||749000.00|Single Family|3|2|1||Acalanes (925) 280-3900|||||1792||||1981|Active|Rare end unit w/Walnut Creek Schools & walk to Bart. Great location next to green belt in wonderful community. Lives like a single fam. home w/attached 2 car garage. High ceilings, and great versatile floor plan. Inside laundry. High end replaced HVAC, dual pane windows, patio door & water heater.Updated kitchen, baths, tile in baths & kitchen. Sprawling backyard offers great year round entertaining area. This feels like "HOME"! Open Super Bowl Sunday 1-3:30.||N|N|N|N|Y|http://www.tourfactory.com/idxr1926319|margaret@apr.com||12176|||Contra Costa||||
LIVERMORE|USA|CA||776 William Dr.|||94550|Garage Door Opener,Water Heater Gas||None||||2018-02-01 05:52:00|Regular|0.155|EBRDIMCG|159510708|Jo Ann Luisi|ML37608|Pleasanton / Livermore Valley||2018-02-01 01:08:12|40809028|Single Family|||724950.00|Single Family|3|2|0|||||||1200||||1961|Active|More photos coming soon! Open Feb 1st, Thursday 10-1pm, Feb 3rd & 4th, Sat & Sun 1-4pm. You don't want to miss this lovely remodeled Sunset West home. Surrounded by great schools and close to downtown. This 3bd/2ba/1200 sf home features new central heat and air, a renovated kitchen, and remodeled bathrooms. Master suite with expanded bathroom and walk in closet with built in dresser. Crown molding, recessed lighting, hardwood floors, new carpet fresh paint throughout and 6 panel doors. The backyard is wired for stereo and tv. Side yard access, large detached shed, patio and built in BBQ. Don't miss this lovely home.||N|N|N|N|Y|http://Coming Soon|jluisi@apr.com||12176|||Alameda||||
San Francisco|USA|CA||301 Mission Street, # 33E|||94105|In Closet|2293.15|None||||2017-03-10 00:00:00|||SFARMCG|802017|Denise Laverne Paulson|ALPR21|San Francisco - SoMa||2018-02-01 01:08:00|455565|Condo|||2399000.00|Condo|2|2|0|||||||1714||||2009|Active|Stunning and spacious E Floor Plan at Millennium Tower. Two bedrooms and two baths, parking, storage and views of the Bay and City from 33rd Floor. Experience professional concierge and doorman services, walk to downtown, Embarcadero Ferry Plaza, Financial District, restaurants and shopping.||N|N|N|N|Y||dpaulson@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||2440 Scott Street|||94115||0.00|None||||2017-07-10 11:20:28|Regular|0.056|SFARMCG|800774|Pattie Lawton|ALPRSF|San Francisco||2018-02-01 01:08:00|460167|Single Family|formal entry,wet bar(s)||6050000.00|Single Family|4|3|1|||||||4392||||1922|Active|This magnificent home has an exceptional grace: indoor outdoor living, captivating designer finishes, abundant natural light, and classic architectural details. Recently renovated, designer Douglas Boggs created an inspiring environment of elegance. The thoughtful, open floor plan allows for both graceful entertaining and effective everyday life. Four bedrooms, three and a half baths, grand living room, handsome dining room, sophisticated kitchen, spacious family room with fireplace, media room with custom wet bar, all with patio/garden access. Master suite with luxe bath, three additional bedrooms, renovated baths, office, two car garage, storage, wine room, laundry rm, plus potential for roof deck - all on a cherished Pacific Hts block||N|N|N|N|Y||plawton@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||1750 Taylor Street, # 405|||94133|In Laundry Room|4006.62|None||||2017-10-09 00:00:00|Irregular||SFARMCG|800774|Pattie Lawton|ALPRSF|San Francisco||2018-02-01 01:08:00|463686|Condo|||6995000.00|Condo|3|4|1|||||||3280||||1964|Active|Sophisticated and elegant cooperative Royal Towers apartment with stunning views that sweep across the Bay, Telegraph Hill, Downtown, the Bay Bridge and Grace Cathedral. The entire apartment has incredible light. Spacious open floor plan with floor to ceiling windows and several walk out terraces. Gorgeous living, dining room with fireplace. Eat-in kitchen with views. Luxurious master suite with two bathrooms, fabulous closets, and expansive views. Two additional bedroom suites. Office with built-in cabinetry and tremendous storage. Three car parking. Full service building with elevator, doorman, full time security, pool, recreation room, view deck, and gym.||N|N|N|N|Y||plawton@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||338 Main Street, # 21D|||94105|Washer/Dryer,In Closet|993.72|None||||2017-10-18 00:00:00|||SFARMCG|802017|Denise Laverne Paulson|ALPR21|San Francisco - SoMa||2018-01-30 15:12:06|463992|Condo|||1275000.00|Condo|1|1|0|||||||||||2016|Pending|Bernardo Fort-Brescia of Arquitectonica, the Architect of The Lumina is the newest addition to SOMA and the most premier building in San Francisco. Enjoy the serene water views from the moment you enter, this highly sought after one bedroom floor plan on the 21st floor. Featuring wood flooring throughout and Cesarstone and quartz countertops, Woodland's Gourmet Market at ground level. High end finishes include Gaggenau appliances: oven/rotisserie, four burner gas cooktop, Bosch appliances, Kohler bathroom fixtures, custom cabinetry. Unrivaled community amenities include a private dining room, 70-ft lap pool, private screening room, game room, music room, pet grooming station, bbq roof deck, Audi at Home Program, and much more.||N|N|N|N|Y||dpaulson@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||2563 35th Avenue|||94116||0.00|None||||2017-11-20 00:00:00||0.069|SFARMCG|166013073|Tom Ryglinski|ALPRIG|APR Investment Group||2018-01-29 14:31:44|464672|Single Family|||1099000.00|Single Family|3|2|0|||||||1765||||1940|Pending|Parkside magic! Kitchen features skylight, updated cabinets & stainless steel appliances. Vaulted ceiling in lvg room w/ gas-burning fireplace & stone hearth. Skylight over dining area. Updated bath incl. senior walk-in tub & skylight. Hardwood flrs. Bonus bedroom, bath & utility room w/ washer & dryer on lwr lvl. Updated furnace & hot water heater. Large backyard waiting for your green thumb. Will be delivered VACANT. Move in now, or create your masterpiece. Close to Lakeshore Plaza, Pine Lake Pk, Stern Grove, Lake Merced, Lowell High School, San Francisco State Univ, the zoo & more. Easy commuting. 1+ blks to Taraval light rail. 2 blks to Sunset Blvd. 3 Blks to Sloat Blvd. Just 13 blks to the Pacific Ocean!||N|N|N|N|Y||tjr@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||2055 Bush Street|||94115|Washer/Dryer,In Laundry Room|397.15|None||||2017-12-04 10:26:27|Regular||SFARMCG|800774|Pattie Lawton|ALPRSF|San Francisco||2018-02-01 01:08:00|465407|Condo|||1998000.00|Condo|3|3|0|||||||2532||||1904|Active|Gracious, house-like, two-level condominium. Spacious with gorgeous Edwardian architectural details, built-ins, high ceilings, hardwood floors. Living room with fireplace, family room, elegant dining room, large renovated eat-in kitchen, laundry room/office. Lower level bedroom suite with garden access. Deep garden with southern exposure is shared. Near the best of Fillmore, Pacific Heights, Japantown.||N|N|N|N|Y||plawton@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||333 Bush Street, # 3807|||94104|In Closet|1300.00|None||||2017-12-22 00:00:00|||SFARMCG|802017|Denise Laverne Paulson|ALPR21|San Francisco - SoMa||2018-01-29 14:29:40|465702|Condo|||2195000.00|Condo|2|2|0|||||||1660||||1987|Pending|A boutique building in the Financial District only 45 units, floors 37 to 43. The views, location and status of this building is the best kept secret in San Francisco. On the 38th floor, this spacious two bedroom and two bath northwest exposure is the most desirable in the building. You can see forever from the Bay and Pyramid Building across the span of the water, Nob Hill, Russian Hill and Golden Gate Bridge and to the Farallon Islands on a clear day. Enjoy walking in all four directions: Union Square, MOMA, Ferry Building/Plaza and North Beach. Rarely available and ready for your occupancy. Valet parking, 24 hour doorman/security, updated and remodeled common areas.||N|N|N|N|Y||dpaulson@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||5517 Diamond Heights Boulevard|||94131||0.00|None||||2017-12-29 00:00:00|||SFARMCG|364925|Lance Fulford|ALPRSF|San Francisco||2018-02-01 01:08:00|465763|Single Family|||1899000.00|Single Family|4|3|1|||||||2388||||1969|Active|Spacious Diamond Heights mid-century home. Set back from the street behind a private courtyard this home has the expanded use of the courtyard for additional living area. There is a formal entry with half bath, open living dining with fireplace and view and large kitchen on the main level. Upstairs is a master suite, two bedrooms and a hall bath. Downstairs is a large 4th bedroom or family room, full bath and an additional room that could be a study/den. There is a two car side-by-side garage.||N|N|N|N|Y||lfulford@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||15 Miraloma Drive|||94127||0.00|None||||2018-01-04 00:00:00||0.081|SFARMCG|1057558|Grant Edward Beggs|ALPRSF|San Francisco||2018-01-29 14:31:47|465834|Single Family|formal entry,window coverings,storage area(s),cable tv||2095000.00|Single Family|3|2|0|||||||2343||||1926|Pending|Absolutely gorgeous home in Miraloma Park neighborhood. Completely updated - move right in! Flooded with light & designed for entertaining - windows on all 4 sides. 3 bedrooms and 2 bathrooms. Chef's kitchen with carrera marble counters & backsplash, La Cornue 5-burner range with double oven! Built-in dishwasher and Sub Zero refrigerator. An entertainers delight. Formal living room with barrel ceiling and fireplace, elegant dining room and separate den off of the kitchen. Kitchen and den have glass sliders to the fully landscaped backyard and large patio - perfect for entertaining family and friends. Luxurious Master with fireplace, solarium and stunning en-suite bath featuring walk-in shower, claw-foot tub & double vanity.||N|N|N|N|Y||||12176|||San Francisco||||
San Francisco|USA|CA||1418 16th Avenue|||94122||0.00|None||||2018-01-07 00:00:00|Regular,Fenced|0.073|SFARMCG|979805714|Susan Cullen|7ZAPR13|Mill Valley||2018-01-29 14:31:46|465938|Single Family|formal entry,smoke alarm(s),cable tv||1195000.00|Single Family|3|1|0|||||||1250||||1923|Pending|Purchased in 1924 by sellers' family and never before on the market. Well maintained home, structurally sound with some cosmetic upgrades needed. Three bedrooms and one bath. Formal DR and LR with wainscoting, hardwood floors and fireplace. Garage, one off street parking space, basement with possible expansion, garden. Near Irving St. shops, restaurants and GG Park.||N|N|N|N|Y||||12176|||San Francisco||||
San Francisco|USA|CA||101 Lombard Street, # 202E|||94111|Washer/Dryer,In Closet,In Kitchen|970.00|None||||2018-01-11 00:00:00|||SFARMCG|393136|Marsha Williams|ALPRSF|San Francisco||2018-01-29 14:29:54|466104|Condo|||995000.00|Condo|1|1|0|||||||1062||||1983|Pending|Enjoy luxury living with resort-style amenities in the sunny, convenient North Waterfront neighborhood. This beautifully remodeled unit provides the perfect stage for entertaining with an open floor plan living space, lofty 9-foot ceiling, abundant natural light and a wood burning fireplace. Thoughtfully renovated kitchen has a breakfast bar, granite counters and stainless appliances. Large bedroom with office nook, dressing room and walk-in closet. Ample storage, washer/dryer in unit, plus a spacious private balcony patio. 1 car parking plus additional storage. This one has it all! Building amenities include 24-hr. security, doorman, club room, heated pool and spa, plus a roof garden with panoramic views. Pet friendly! 96 WalkScore.||N|N|N|N|Y||marsha@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||126 Park Street|||94110||0.00|None||||2018-01-12 00:00:00|Regular|0.057|SFARMCG|166014367|C.M. Foo|ALPR18|San Francisco - Noe Valley||2018-01-29 14:31:51|466117|Single Family|||1695000.00|Single Family|3|3|0|||||||1894||||0|Pending|Stylish Modern Residence in Prime Bernal Heights. Meticulously renovated in 2017, this stylish residence boasts generous living space and modern upgrades on a large level lot. Spacious living room with oversized windows and fireplace. Modern kitchen with skylights, custom cabinetry and quartz countertops. There are three spacious bedrooms plus a big office. Three new bathrooms with designer fixtures. Light-filled family room leads to the south-facing yard with eco-friendly lawn and patio. Steps to lovely Holly Park. Easy walk to Glen Park Bart station and Cortland village. Easy access to public transportation, freeways and urban conveniences.||N|N|N|N|Y||cmfoo@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||3960 Folsom Street|||94110||0.00|None||||2018-01-18 00:00:00||0.04|SFARMCG|166015601|Jessica Branson|ALPR18|San Francisco - Noe Valley||2018-01-29 14:31:55|466247|Single Family|||1395000.00|Single Family|3|2|0|||||||1450||||1900|Pending|Steps to Cortland's village, this two level, 3BD/2BA bungalow will melt your heart. Light filled open floor plan w/ cathedral ceilings. Renovated kitchen with stainless appliances. Built in dining nook overlooks & opens to a stunning landscaped garden. Open living room, wood floors. Two spacious BDRs and a full skylit BA complete the main level. Downstairs a sumptuous master suite with walk in closet, and a luxurious en suite bath with soaking tub and standup shower. The master also opens to the garden & patio area. The garden is pro landscaped w/ built in seating, slate patio, and mature plantings. Garage w/ storage & laundry. Prime Bernal locale: walk to Cortland, playground, Bernal Hill. Mins to 101/280, tech shuttles. Wow!||N|N|N|N|Y||Jessica@JessicaBranson.com||12176|||San Francisco||||
San Francisco|USA|CA||333 Bush Street, # 3804|||94104|In Closet|1304.00|None||||2018-01-24 00:00:00|||SFARMCG|802017|Denise Laverne Paulson|ALPR21|San Francisco - SoMa||2018-02-01 01:08:00|466532|Condo|||1899000.00|Condo|2|2|0|||||||1510||||1987|Active|One of 45 units in this boutique, Manhattan-like doorman building in the Financial District. Two Bedrooms and Two Baths in southeast corner with panoramic views of Bay, San Francisco from 38th floor. 24 hour doorman services, valet parking available in the building. Walk to Union Square, MOMA, North Beach and Ferry Building and Embarcadero.||N|N|N|N|Y||dpaulson@apr.com||12176|||San Francisco||||
San Francisco|USA|CA||176 Gladstone Drive|||94112||0.00|None||||2018-01-25 00:00:00|Downslope,Fenced|0.05|SFARMCG|116|Michelle Englert|ALPRSF|San Francisco||2018-02-01 01:08:00|466551|Single Family|smoke alarm(s)||948000.00|Single Family|2|2|0|||||||1439||||2002|Active|Built in 1942, this 1,439 sqft (approx.) 2 bed, 2 bath home, designed by renowned architect Jay Kammen, was extensively renovated to include retrofitting, architectural appeal, HVAC, double-paned windows, refinished hardwood floors & more. Featuring abundant light & an open floor plan looking out to expansive views of San Francisco, the East Bay Hills & Oakland. Features include floor to ceiling windows, skylights, upgraded kitchen w/ stainless steel appliances, a grand deck & generous back yard perfect for entertaining under the stars. Easy access to major freeways, public transportation, nearby shops & restaurants of Glen Park Village & Mission St. Located in the trendy Excelsior North subdivision. Speakers & stereo equipment included.||N|N|N|N|Y||Michelle@MichelleEnglert.com||12176|||San Francisco||||
San Francisco|USA|CA||138 Scott Street|||94117|Washer/Dryer|0.00|None||||2018-01-26 00:00:00|||SFARMCG|166014231|Grace Mgrdechian|ALPRSF|San Francisco||2018-02-01 01:08:00|466620|Condo|||1499000.00|Condo|2|2|0|||||||1604||||1900|Active|On a charming tree-lined block in Hayes Valley, the perfect San Francisco oasis awaits. With a Walkscore of 95, this lovely Victorian era condominium offers: 2 bds, 2ba (one en-suite), formal dining room, office nook, eat-in kitchen, private deck and large deeded basement area. Many original details include: gorgeous high-ceilings, two (2) elegant decorative marble fireplaces, ceiling medallions, moldings and pocket doors. Several built-ins offer ample storage. The spacious, updated kitchen with extensive storage and granite counter-tops offer multiple prep areas to inspire your next dinner party. Close to Duboce Park, Haight Street, cafes, Divisadero bars, restaurants, tech shuttle stops, CPMC Davies and much more.||N|N|N|N|Y||gracem@apr.com||12176|||San Francisco||||
